"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
15.091649941403,5.23942580679432,6.04738759575412,8.16486457479186,9.36818391783163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
15.6384711242334,9.16379092028365,6.70024982769974,9.62376724462956,8.69808804709464,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13.9391088171161,7.83097533974797,5.03866558079608,8.14931662403978,6.07479088706896,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
11.5602466771574,5.01301845535636,7.06180062144995,6.96678722160868,5.01694639096968,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
15.0707391361715,7.55073168664239,7.14069306268357,6.37812862871215,9.19089945149608,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
13.9779828495614,9.16597971925512,5.37587948259898,8.09960939688608,5.99630411365069,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
12.4585466874953,5.44099885271862,7.69130097236484,6.93215977167711,5.58382480754517,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
14.6839167630832,9.67746476759203,8.98375829216093,8.86704414035194,5.81697784829885,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0
14.6516803462022,8.3151011262089,9.82636991073377,7.18333614524454,8.91479923157021,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
13.5972552653726,9.92810552823357,8.28484479920007,6.39019980211742,6.26000461168587,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0
14.1105411655358,6.04853034252301,5.86972753400914,9.18646457605064,5.24765598354861,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
14.530849223031,7.66895499895327,8.29190633725375,7.05208138679154,6.67773304623552,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.4826211453517,7.6935453468468,7.83974747173488,8.56578441802412,5.98712104721926,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.8538637566192,5.77741251676343,6.10749783692881,7.12584648746997,9.11763972835615,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
14.1532372530828,8.7340648449026,8.03546343231574,5.10043746558949,5.60299739707261,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
15.1869562665124,6.4509485475719,7.11339032859541,5.06087035057135,9.39402026473545,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
14.1965543501857,9.45659565739334,6.86277786735445,7.20496712019667,5.36508565419354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
15.8874579803243,7.9800561175216,5.789770957781,7.07351976889186,7.39551026606932,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1
13.2596875553598,7.83444291562773,6.78442627657205,5.99388065398671,5.58831938658841,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15.9288040376002,8.58877708553337,6.03251930093393,7.93168416596018,8.28130663372576,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
13.1781739592288,7.42267168243416,9.81714368099347,8.35775994462892,6.73013373743743,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
12.1167762738679,7.4930418538861,8.01064303377643,5.48428577021696,5.3539293538779,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1
12.4330842548821,5.21259407396428,9.55407707602717,5.870482273167,5.17287989030592,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13.6743773946085,7.62248343671672,6.40798046370037,6.99356140801683,9.89722376456484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
14.8049977609596,6.56235999194905,5.15175212989561,8.93434971687384,6.90959023078904,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.6383202094292,8.95411751698703,5.20402665133588,5.81800016574562,8.4414435189683,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
14.325810462238,5.66863420885056,8.80346176098101,7.1998956380412,8.60354510485195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13.929217809309,8.38969950098544,6.03264675475657,5.92116136453114,7.3069340409711,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14.0485875907958,8.79300544271246,7.71279231295921,5.04544220981188,7.40086415200494,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
14.4561928376056,9.88011003588326,5.47420685878024,5.76409333734773,6.0380495339632,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
15.6640452305881,9.75396567606367,6.31692608934827,9.28020115126856,6.33419713471085,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
15.2023373511827,9.36955163488165,7.84185928641818,7.70469045150094,8.08301140437834,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
15.3244251507018,9.86829217523336,7.42090720916167,9.39727903460152,8.49177336436696,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15.5872328094677,6.28020324511454,5.14604605501518,8.15449589514174,8.94026308786124,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
15.0103435690987,8.91501622856595,9.44682030472904,8.70973165961914,5.07600250304677,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
14.5478475789227,5.63854893785901,8.50703840376809,7.71221788134426,7.2359646181576,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
15.6607281104443,8.65193677600473,6.45006208331324,9.196785481181,9.38788809929974,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
16.0937438020936,5.09071991313249,9.37590398825705,8.41100012999959,9.60621180478483,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
13.7249376175776,8.99561204249039,7.89581056800671,5.78820207738318,8.47139445948415,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.4307726187365,5.07804559660144,7.82094923662953,8.88355215312913,7.24319645669311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
14.6004421275045,8.08009200613014,7.13923709001392,8.86643428471871,7.25260248873383,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3375502541899,9.45100377313793,5.40394525858574,6.75774524919689,6.39918107190169,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1
13.2087243275903,5.25081876898184,8.02037409506738,6.96204665233381,9.06621984438971,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
14.5520225081411,6.3703751785215,9.13843234069645,7.94058135710657,7.25035938317887,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
14.3404427069959,8.72593955951743,8.78594908397645,5.36639138008468,8.29615385504439,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
12.663418759909,7.20183606259525,6.4591445052065,8.11541224247776,5.05744138732553,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.7096041147679,6.46147788385861,9.57636280916631,8.47028953605331,8.68079754174687,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12.0910007015584,6.67628607712686,9.70648390590213,5.32474452746101,5.90258746640757,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14.8195710548428,9.66163773322478,8.09196632471867,8.14189090044238,7.96682707965374,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
13.4934770140755,8.3732369390782,6.41805823077448,9.3822425394319,5.69146056193858,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
12.6152175155037,6.66953357751481,6.38602260034531,5.22190065472387,6.0490459727589,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
14.2879718490926,7.17826963402331,7.19071745988913,8.74251869041473,6.09054609551094,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
13.6466402101181,5.15885384054855,5.31629026751034,9.27169433911331,9.13497177651152,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
12.2055907495137,5.15166184399277,7.07787619903684,5.10046530282125,8.97575157345273,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14.1737080900039,5.5864693725016,6.04184333700687,6.71845300472341,9.55456679686904,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
14.2167655336299,7.94397921068594,7.43950728210621,8.89502756064758,5.71431651012972,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13.2404270630431,6.81499727186747,9.50223510619253,6.23867240850814,6.33099091122858,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
14.9038918045445,9.41872321302071,7.26254894281738,8.70286784600466,6.23641160433181,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
14.2881113441717,8.65867478423752,8.35084910620935,5.63952771830373,8.60454703797586,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
11.4953506101563,5.63517770031467,5.22109709214419,7.35926273162477,6.67226066347212,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
14.7112301830101,6.93767754361033,8.45269524841569,5.05604954436421,7.747793457238,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
14.9923453504438,9.6857411286328,8.33047959837131,9.02252869564109,8.15525346784852,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
14.3492285325345,9.28902233368717,9.24958673305809,9.32591915130615,6.32961993920617,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
11.4593456132778,7.74465796188451,6.38783645932563,7.02740425360389,5.65860070753843,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
13.3374865255276,7.36749837640673,8.71736617293209,5.04815866937861,9.77308080531657,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.7701281968177,9.7569616837427,5.44705872423947,6.98741333326325,5.88085679337382,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
14.2397342436022,8.69491285993718,8.28243851196021,7.95459623564966,8.63647290039808,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
13.719811509425,5.89994121808559,7.57789322640747,8.40511347400025,8.29501526895911,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14.0478501309667,8.20991635788232,7.50985768507235,6.23062300495803,7.73533040541224,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14.1947281499844,5.87263207416981,8.07742614648305,7.07811395288445,7.48184162075631,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
12.3165918977214,5.09409377700649,8.22296320227906,7.56649827817455,5.29236846487038,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13.1755777442418,9.22564168809913,6.91258723149076,6.95529615157284,6.70130862505175,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
14.5784118321069,7.09640403743833,6.80120669654571,6.64747632807121,7.78779400745407,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
15.5935881030608,9.68318194849417,6.28955381340347,9.33745469548739,6.32029199041426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.766316916413,7.14573771343566,5.02396196941845,9.54523679451086,7.81214037677273,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
14.7932729876943,9.11648430745117,5.97086667781696,8.66822302108631,5.64325958373956,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0
13.1504029488532,7.56450269953348,9.53085030894727,6.07598997768946,6.46536121377721,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14.2387352210437,8.04836554569192,9.32045741705224,8.68250094936229,6.13921869080514,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
13.3606811956847,9.22137222136371,9.21099225757644,8.25825641048141,7.0351340493653,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
15.5278157543368,5.9847368800547,8.35624454310164,8.51107634021901,8.0389498360455,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
13.2693713990229,5.77488863491453,6.0790552245453,5.85016692406498,5.92223468585871,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
14.4097289164821,5.84537079557776,9.76403285050765,8.98247774341144,5.41481954744086,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
12.0111481512851,5.57711559347808,8.35066556115635,6.08514624647796,5.12366093345918,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
